# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "/binf-isilon/vintherlab/jvinther/scratch/data/sequences/RNAs_100.saf" "-o" "/binf-isilon/vintherlab/jvinther/scratch/featureCount_counts.txt" "-F" "SAF" "02.sam" "03.sam" "05.sam" "06.sam" "08.sam" "09.sam" "11.sam" "12.sam" "14.sam" "15.sam" 
Geneid	Chr	Start	End	Strand	Length	02.sam	03.sam	05.sam	06.sam	08.sam	09.sam	11.sam	12.sam	14.sam	15.sam
RNU6ATAC	RNU6ATAC	1	100	+	100	93	66	257	273	163	173	185	241	118	126
RNU7-1	RNU7-1	1	63	+	63	0	0	0	0	0	0	0	0	0	0
RNVU1-1	RNVU1-1	1	100	+	100	2	0	13	11	6	4	16	2	8	5
SCARNA10	SCARNA10	1	100	+	100	32	22	71	92	43	70	38	61	46	34
SCARNA11	SCARNA11	1	100	+	100	1	4	3	6	5	6	7	5	4	2
SCARNA12	SCARNA12	1	100	+	100	247	178	456	594	306	594	258	344	209	198
SCARNA13	SCARNA13	1	100	+	100	40	22	80	81	47	98	61	60	46	28
SCARNA14	SCARNA14	1	100	+	100	0	0	0	1	1	0	0	0	0	1
SCARNA15	SCARNA15	1	100	+	100	0	2	1	0	0	2	0	1	0	0
SCARNA16	SCARNA16	1	100	+	100	65	50	178	227	87	231	90	150	79	115
SCARNA17	SCARNA17	1	100	+	100	0	1	10	9	8	4	3	3	5	1
SCARNA18B	SCARNA18B	1	100	+	100	0	0	2	0	0	0	0	0	0	0
SCARNA18	SCARNA18	1	100	+	100	168	95	219	305	165	281	174	230	138	129
SCARNA1	SCARNA1	1	100	+	100	400	268	717	1162	618	1070	719	921	387	410
SCARNA20	SCARNA20	1	100	+	100	112	62	218	240	169	282	158	294	116	134
SCARNA21B	SCARNA21B	1	100	+	100	0	0	1	1	1	7	1	0	0	1
SCARNA21	SCARNA21	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SCARNA22	SCARNA22	1	100	+	100	1251	692	1689	2441	1362	1992	968	1600	835	784
SCARNA23	SCARNA23	1	100	+	100	28	19	25	42	27	43	5	46	11	8
SCARNA2	SCARNA2	1	100	+	100	11	3	10	27	6	13	14	11	6	7
SCARNA3	SCARNA3	1	100	+	100	6	4	10	7	10	31	11	6	1	2
SCARNA4	SCARNA4	1	100	+	100	1064	768	1880	2548	1448	1878	1383	1782	874	859
SCARNA5	SCARNA5	1	100	+	100	103	59	159	255	115	216	109	143	74	97
SCARNA6	SCARNA6	1	100	+	100	11	8	24	28	27	54	25	35	15	20
SCARNA7	SCARNA7	1	100	+	100	550	368	920	1200	611	947	518	914	336	360
SCARNA8	SCARNA8	1	100	+	100	10	7	28	20	9	19	23	15	9	13
SNORA108	SNORA108	1	68	+	68	0	0	0	0	0	0	0	0	0	0
SNORA10B	SNORA10B	1	100	+	100	0	0	0	1	1	0	0	3	1	1
SNORA10	SNORA10	1	100	+	100	70	41	159	165	82	133	85	129	54	69
SNORA11B	SNORA11B	1	100	+	100	2	0	0	2	6	5	2	9	0	2
SNORA11C	SNORA11C	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA11D	SNORA11D	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA11F	SNORA11F	1	100	+	100	76	42	113	182	88	150	97	136	56	46
SNORA11	SNORA11	1	100	+	100	4	3	2	5	7	9	4	3	5	1
SNORA12	SNORA12	1	100	+	100	316	206	472	590	362	631	344	485	218	303
SNORA13	SNORA13	1	100	+	100	19	5	10	16	10	9	8	17	5	3
SNORA14A	SNORA14A	1	100	+	100	0	0	3	2	3	3	0	0	1	1
SNORA14B	SNORA14B	1	100	+	100	14	9	21	20	16	27	16	28	11	14
SNORA15B-1	SNORA15B-1	1	100	+	100	3	0	0	0	0	2	3	15	1	3
SNORA15	SNORA15	1	100	+	100	2	0	6	4	4	5	0	2	0	1
SNORA16A	SNORA16A	1	100	+	100	121	52	209	256	140	253	145	191	117	112
SNORA16B	SNORA16B	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA17A	SNORA17A	1	100	+	100	55	40	122	116	61	143	82	90	62	41
SNORA17B	SNORA17B	1	100	+	100	1085	662	2149	2672	1453	2450	1653	2408	1144	1011
SNORA18	SNORA18	1	100	+	100	564	396	989	1206	767	1371	815	1149	535	566
SNORA19	SNORA19	1	100	+	100	2	1	4	1	0	1	0	0	1	1
SNORA1B	SNORA1B	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA1	SNORA1	1	100	+	100	8	1	7	11	3	7	5	11	8	9
SNORA20B	SNORA20B	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA20	SNORA20	1	100	+	100	53	39	102	144	84	118	106	136	59	52
SNORA21B	SNORA21B	1	100	+	100	125	66	167	190	141	255	121	215	96	97
SNORA21	SNORA21	1	100	+	100	83	36	105	141	90	162	58	121	71	86
SNORA22B	SNORA22B	1	100	+	100	91	79	257	412	130	250	169	269	113	138
SNORA22C	SNORA22C	1	100	+	100	1163	623	1915	2688	1156	1813	1275	1811	885	1053
SNORA22	SNORA22	1	100	+	100	1012	588	1804	2344	1219	1881	1414	2071	848	930
SNORA23	SNORA23	1	100	+	100	4446	3092	6222	8123	4097	9900	4534	6866	3534	3779
SNORA24B	SNORA24B	1	100	+	100	6	19	32	42	21	34	23	22	13	14
SNORA24	SNORA24	1	100	+	100	199	127	445	499	329	592	434	579	250	257
SNORA25B	SNORA25B	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA25	SNORA25	1	100	+	100	14	7	31	75	30	35	48	50	16	17
SNORA26	SNORA26	1	100	+	100	0	0	3	2	3	3	0	2	0	1
SNORA27	SNORA27	1	100	+	100	28	20	37	42	24	37	22	51	11	16
SNORA28	SNORA28	1	100	+	100	8	5	7	13	7	19	4	5	6	7
SNORA29	SNORA29	1	100	+	100	0	0	0	0	0	0	0	0	0	2
SNORA2A	SNORA2A	1	100	+	100	14	11	26	34	21	38	22	33	14	18
SNORA2B	SNORA2B	1	100	+	100	4	0	6	1	2	8	6	10	1	2
SNORA2C	SNORA2C	1	100	+	100	1531	930	2767	3295	2124	3736	2271	2957	1386	1429
SNORA30B	SNORA30B	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA30	SNORA30	1	100	+	100	2	2	5	5	4	15	3	3	4	5
SNORA31	SNORA31	1	100	+	100	2	6	13	33	17	11	6	16	5	3
SNORA32	SNORA32	1	100	+	100	0	1	1	0	1	0	0	1	1	0
SNORA33	SNORA33	1	100	+	100	22	25	36	53	31	26	21	38	21	12
SNORA35B	SNORA35B	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA35	SNORA35	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA36A	SNORA36A	1	100	+	100	20	3	17	12	4	14	5	10	2	9
SNORA36B	SNORA36B	1	100	+	100	0	0	0	0	2	0	0	3	0	0
SNORA36C	SNORA36C	1	100	+	100	2	0	1	3	1	2	0	0	1	1
SNORA37	SNORA37	1	100	+	100	48	34	112	85	76	113	40	58	33	42
SNORA38B	SNORA38B	1	100	+	100	4	0	3	0	4	6	1	8	6	2
SNORA38	SNORA38	1	100	+	100	17	12	21	28	21	34	9	39	14	15
SNORA3A	SNORA3A	1	100	+	100	42	26	79	90	46	93	63	83	42	35
SNORA3B	SNORA3B	1	100	+	100	76	56	120	179	84	139	65	134	59	64
SNORA3C	SNORA3C	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA40B	SNORA40B	1	100	+	100	0	0	0	0	2	0	0	3	1	0
SNORA40C	SNORA40C	1	100	+	100	3	0	10	6	0	0	0	0	0	1
SNORA40	SNORA40	1	100	+	100	0	0	0	0	0	1	0	0	0	0
SNORA41B	SNORA41B	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA41	SNORA41	1	100	+	100	32	20	71	79	48	65	68	64	37	21
SNORA44	SNORA44	1	100	+	100	478	326	1089	1409	852	1096	1080	1224	467	504
SNORA46	SNORA46	1	100	+	100	50	20	56	38	19	56	30	43	8	16
SNORA47	SNORA47	1	100	+	100	48	30	102	121	59	148	77	98	51	52
SNORA48B	SNORA48B	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA48	SNORA48	1	100	+	100	3	6	10	5	8	10	6	17	3	0
SNORA49	SNORA49	1	100	+	100	244	144	462	616	349	498	307	442	243	226
SNORA4	SNORA4	1	100	+	100	48	28	96	158	75	91	91	94	39	50
SNORA50A	SNORA50A	1	100	+	100	47	49	132	139	83	125	61	86	52	52
SNORA50B	SNORA50B	1	100	+	100	13	3	14	18	17	24	26	29	15	9
SNORA50C	SNORA50C	1	100	+	100	113	70	198	262	129	210	116	164	89	83
SNORA50D	SNORA50D	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA51	SNORA51	1	100	+	100	15	16	14	44	18	26	23	14	10	13
SNORA52	SNORA52	1	100	+	100	1	3	9	2	2	6	0	5	0	2
SNORA53	SNORA53	1	100	+	100	20	3	33	42	25	30	16	22	12	10
SNORA54	SNORA54	1	100	+	100	8	7	14	17	18	24	8	14	12	14
SNORA55	SNORA55	1	100	+	100	35	19	32	56	43	51	53	52	14	15
SNORA56	SNORA56	1	100	+	100	0	0	0	0	0	0	0	0	2	0
SNORA57	SNORA57	1	100	+	100	2	1	3	6	3	7	6	5	4	2
SNORA58B	SNORA58B	1	100	+	100	5	2	15	23	7	18	2	16	7	7
SNORA58	SNORA58	1	100	+	100	3	2	6	6	6	1	9	4	1	0
SNORA59A	SNORA59A	1	100	+	100	2	0	0	0	0	0	0	0	0	0
SNORA59B	SNORA59B	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA5A	SNORA5A	1	100	+	100	2	2	11	4	5	1	1	2	0	3
SNORA5B	SNORA5B	1	100	+	100	0	0	0	1	0	1	0	0	0	0
SNORA5C	SNORA5C	1	100	+	100	7	4	17	17	10	27	20	19	5	4
SNORA60	SNORA60	1	100	+	100	2	4	11	5	1	17	11	13	3	8
SNORA61	SNORA61	1	100	+	100	606	253	865	1031	587	1106	425	607	362	435
SNORA62	SNORA62	1	100	+	100	630	361	1158	1305	921	1415	767	1152	524	611
SNORA63	SNORA63	1	100	+	100	16	9	27	18	12	22	21	29	8	6
SNORA63C	SNORA63C	1	100	+	100	0	0	2	0	0	2	1	0	0	0
SNORA63D	SNORA63D	1	100	+	100	2	3	11	5	1	18	2	5	2	1
SNORA64	SNORA64	1	100	+	100	417	262	814	879	649	1136	722	933	367	432
SNORA65	SNORA65	1	100	+	100	245	141	415	509	411	344	313	336	128	148
SNORA66	SNORA66	1	100	+	100	52	30	100	136	102	107	83	90	60	60
SNORA67	SNORA67	1	100	+	100	40	26	48	64	46	84	40	59	34	41
SNORA68	SNORA68	1	100	+	100	287	216	523	696	421	600	440	517	258	270
SNORA68B	SNORA68B	1	100	+	100	0	0	0	1	0	0	0	9	0	0
SNORA69	SNORA69	1	100	+	100	0	0	5	0	3	6	0	0	0	2
SNORA6	SNORA6	1	100	+	100	48	48	88	106	63	107	73	69	52	44
SNORA70B	SNORA70B	1	100	+	100	0	0	0	3	0	0	0	0	0	2
SNORA70	SNORA70	1	100	+	100	486	265	784	1000	736	1376	689	950	498	447
SNORA70C	SNORA70C	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA70D	SNORA70D	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA70E	SNORA70E	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA70F	SNORA70F	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA70G	SNORA70G	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA70H	SNORA70H	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA70I	SNORA70I	1	100	+	100	5	4	8	15	7	6	5	20	3	6
SNORA70J	SNORA70J	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA71A	SNORA71A	1	100	+	100	6847	4667	13192	15456	11060	16106	9812	13298	6090	6790
SNORA71B	SNORA71B	1	100	+	100	78	50	123	97	70	134	62	79	41	51
SNORA71C	SNORA71C	1	100	+	100	191	93	216	268	163	314	150	243	116	92
SNORA71D	SNORA71D	1	100	+	100	3639	2502	7884	8975	5736	10463	6102	8480	3739	4415
SNORA71E	SNORA71E	1	100	+	100	21	7	48	61	45	74	49	77	20	17
SNORA72	SNORA72	1	100	+	100	13	14	19	40	22	31	30	15	12	16
SNORA73A	SNORA73A	1	100	+	100	1505	969	2715	3629	1950	4240	2115	2886	1437	1639
SNORA73B	SNORA73B	1	100	+	100	3004	3741	7386	5845	5065	9506	4017	5014	2137	4291
SNORA74A	SNORA74A	1	100	+	100	124	38	167	159	93	129	81	85	44	82
SNORA74B	SNORA74B	1	100	+	100	128	97	199	293	129	344	213	211	106	138
SNORA74C-1	SNORA74C-1	1	100	+	100	0	0	0	0	0	2	0	0	0	0
SNORA74D	SNORA74D	1	100	+	100	118	67	178	234	137	236	179	188	77	87
SNORA75B	SNORA75B	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA75	SNORA75	1	100	+	100	16	10	21	34	32	29	27	37	13	15
SNORA77B	SNORA77B	1	100	+	100	0	0	3	0	2	0	1	0	3	0
SNORA77	SNORA77	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORA78	SNORA78	1	100	+	100	22	11	28	52	29	65	40	44	23	19
SNORA79B	SNORA79B	1	100	+	100	109	67	169	191	133	243	126	185	77	100
SNORA79	SNORA79	1	100	+	100	0	0	1	2	4	0	0	4	2	0
SNORA7A	SNORA7A	1	100	+	100	1897	428	2984	4683	2463	3522	2551	3838	1810	1586
SNORA7B	SNORA7B	1	100	+	100	228	64	390	746	291	471	402	549	296	122
SNORA80A	SNORA80A	1	100	+	100	100	44	122	196	137	203	102	130	69	81
SNORA80B	SNORA80B	1	100	+	100	30	23	72	76	57	87	75	75	39	23
SNORA80C	SNORA80C	1	100	+	100	0	0	2	0	0	1	0	0	2	1
SNORA80D	SNORA80D	1	100	+	100	45	37	78	93	59	132	51	106	45	47
SNORA80E	SNORA80E	1	100	+	100	2	1	14	13	5	10	3	5	2	5
SNORA81	SNORA81	1	100	+	100	14	7	16	26	13	13	12	24	9	10
SNORA84	SNORA84	1	100	+	100	2	7	12	8	3	8	10	5	12	5
SNORA8	SNORA8	1	100	+	100	2	2	1	9	1	5	8	4	7	2
SNORA9B	SNORA9B	1	100	+	100	6	1	7	8	8	10	5	9	1	2
SNORA9	SNORA9	1	100	+	100	258	200	484	714	352	541	356	536	265	200
SNORD100	SNORD100	1	76	+	76	102	62	215	214	150	218	176	205	90	88
SNORD101	SNORD101	1	73	+	73	100	51	203	206	93	137	99	145	73	64
SNORD102	SNORD102	1	72	+	72	22	23	75	62	39	48	82	86	30	25
SNORD104	SNORD104	1	70	+	70	373	160	509	709	378	673	314	499	254	285
SNORD105B	SNORD105B	1	79	+	79	153	85	186	284	119	152	260	244	124	112
SNORD105	SNORD105	1	85	+	85	6	5	13	5	1	2	4	1	10	3
SNORD107	SNORD107	1	75	+	75	0	0	0	0	0	0	0	0	0	0
SNORD108	SNORD108	1	71	+	71	0	0	0	0	0	0	0	0	0	0
SNORD109A	SNORD109A	1	67	+	67	0	0	0	0	0	0	0	0	0	0
SNORD10	SNORD10	1	100	+	100	406	268	802	920	591	1052	499	783	409	505
SNORD110	SNORD110	1	75	+	75	239	139	388	512	228	233	285	423	180	154
SNORD111B	SNORD111B	1	80	+	80	16	6	38	31	9	22	19	8	1	7
SNORD111	SNORD111	1	94	+	94	4	0	9	5	6	4	7	5	3	0
SNORD112	SNORD112	1	77	+	77	0	0	0	0	0	0	0	0	0	0
SNORD113-1	SNORD113-1	1	69	+	69	0	0	0	0	0	0	0	0	0	0
SNORD114-1	SNORD114-1	1	72	+	72	0	0	0	0	0	0	0	0	0	0
SNORD115-1	SNORD115-1	1	82	+	82	0	0	0	0	0	0	0	0	0	0
SNORD116-1	SNORD116-1	1	95	+	95	0	0	0	0	0	0	0	0	0	0
SNORD117	SNORD117	1	76	+	76	188	113	372	432	268	372	385	415	151	201
SNORD118	SNORD118	1	100	+	100	3	1	10	22	10	23	29	15	7	7
SNORD11B	SNORD11B	1	90	+	90	0	2	1	8	7	9	5	6	1	1
SNORD11	SNORD11	1	84	+	84	9	5	28	17	8	16	11	16	6	16
SNORD121A	SNORD121A	1	82	+	82	4	4	9	9	4	13	7	9	9	12
SNORD121B	SNORD121B	1	81	+	81	48	31	143	145	108	102	160	154	54	73
SNORD123	SNORD123	1	70	+	70	0	0	0	0	0	0	0	0	0	0
SNORD124	SNORD124	1	100	+	100	21	15	15	23	24	49	40	30	16	7
SNORD125	SNORD125	1	96	+	96	1	0	4	2	2	0	0	1	0	0
SNORD126	SNORD126	1	77	+	77	133	54	247	307	137	221	149	221	86	82
SNORD127	SNORD127	1	86	+	86	16	5	41	69	42	43	27	53	22	30
SNORD12B	SNORD12B	1	91	+	91	156	102	343	291	158	470	166	300	164	206
SNORD12C	SNORD12C	1	89	+	89	285	205	669	770	503	512	351	567	228	254
SNORD12	SNORD12	1	90	+	90	14	14	50	56	21	59	31	42	16	25
SNORD13	SNORD13	1	100	+	100	279	180	625	842	476	539	673	712	266	295
SNORD13E	SNORD13E	1	100	+	100	0	0	1	0	0	0	0	0	1	0
SNORD14A	SNORD14A	1	91	+	91	532	371	1543	1282	706	1133	698	1077	440	505
SNORD14B	SNORD14B	1	90	+	90	82	119	249	296	103	247	109	180	70	90
SNORD14C	SNORD14C	1	88	+	88	613	387	1567	1757	1149	1389	1292	1762	565	720
SNORD14D	SNORD14D	1	87	+	87	76	63	231	225	146	165	153	157	77	87
SNORD14E	SNORD14E	1	85	+	85	34	19	83	51	44	66	20	34	16	29
SNORD15A	SNORD15A	1	100	+	100	874	601	1558	2031	1164	2360	1024	1626	766	969
SNORD15B	SNORD15B	1	100	+	100	151	86	230	269	189	267	135	206	100	97
SNORD16	SNORD16	1	99	+	99	22	8	59	63	26	43	50	44	17	29
SNORD17	SNORD17	1	100	+	100	222	180	491	611	318	640	290	423	230	227
SNORD18A	SNORD18A	1	72	+	72	384	317	1027	1153	651	549	536	1068	337	331
SNORD18B	SNORD18B	1	72	+	72	0	1	2	0	1	0	0	0	0	0
SNORD18C	SNORD18C	1	69	+	69	0	1	3	2	1	1	0	0	1	0
SNORD19B	SNORD19B	1	84	+	84	35	38	121	86	86	73	103	122	42	36
SNORD19	SNORD19	1	68	+	68	0	0	0	0	0	0	0	0	0	0
SNORD1A	SNORD1A	1	72	+	72	17	5	39	59	21	52	18	37	12	25
SNORD1B	SNORD1B	1	84	+	84	10	0	12	18	7	7	8	8	10	8
SNORD1C	SNORD1C	1	78	+	78	155	109	290	454	180	318	165	227	132	136
SNORD20	SNORD20	1	80	+	80	5	7	30	34	8	14	13	14	4	0
SNORD21	SNORD21	1	95	+	95	161	91	324	366	199	341	230	278	142	167
SNORD22	SNORD22	1	100	+	100	148	64	314	390	224	424	270	279	151	119
SNORD23	SNORD23	1	100	+	100	7	6	7	3	6	11	5	7	3	11
SNORD24	SNORD24	1	75	+	75	31	43	76	78	47	57	73	109	38	27
SNORD25	SNORD25	1	69	+	69	995	645	1974	2351	1529	1766	1689	2087	910	1061
SNORD26	SNORD26	1	75	+	75	7516	4503	13515	14794	8968	14983	7733	12455	5212	6728
SNORD27	SNORD27	1	72	+	72	310	206	575	678	289	568	315	458	226	237
SNORD28B	SNORD28B	1	75	+	75	2	2	4	5	2	3	0	8	2	2
SNORD28	SNORD28	1	75	+	75	14093	8287	23260	27836	16836	27640	16710	23186	11332	11819
SNORD2	SNORD2	1	69	+	69	12	21	34	42	26	39	28	28	18	19
SNORD30	SNORD30	1	70	+	70	705	329	1048	1346	569	992	410	783	447	523
SNORD31B	SNORD31B	1	69	+	69	34	35	84	89	51	53	61	56	35	47
SNORD32A	SNORD32A	1	84	+	84	122	83	314	321	243	299	282	319	135	154
SNORD32B	SNORD32B	1	84	+	84	0	0	0	0	0	0	0	0	0	0
SNORD33	SNORD33	1	85	+	85	553	298	1139	1350	824	971	1226	1377	503	585
SNORD34	SNORD34	1	71	+	71	11	8	34	28	28	15	26	34	11	12
SNORD35A	SNORD35A	1	86	+	86	114	46	155	205	150	247	176	200	81	109
SNORD35B	SNORD35B	1	87	+	87	37	17	74	47	49	78	52	61	23	16
SNORD36A	SNORD36A	1	73	+	73	39	45	122	153	107	125	170	168	44	49
SNORD36B	SNORD36B	1	74	+	74	15	5	52	30	20	25	30	32	14	16
SNORD36C	SNORD36C	1	66	+	66	17	16	94	75	42	47	24	79	22	22
SNORD37	SNORD37	1	66	+	66	1	2	3	3	1	4	6	9	4	1
SNORD38A	SNORD38A	1	70	+	70	87	44	136	194	115	163	94	140	78	58
SNORD38B	SNORD38B	1	69	+	69	2	1	3	1	2	0	2	3	3	0
SNORD38C	SNORD38C	1	69	+	69	0	0	0	0	0	0	0	0	0	0
SNORD3A	SNORD3A	1	100	+	100	266	210	668	694	430	653	336	424	280	353
SNORD3B-1	SNORD3B-1	1	100	+	100	44	44	172	92	59	60	52	67	60	46
SNORD3C	SNORD3C	1	100	+	100	93	82	302	265	156	165	121	135	89	147
SNORD3D	SNORD3D	1	100	+	100	3	2	0	0	0	1	0	1	0	1
SNORD3E	SNORD3E	1	100	+	100	0	1	2	1	1	0	0	0	0	0
SNORD3G	SNORD3G	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORD3H	SNORD3H	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORD3J	SNORD3J	1	100	+	100	0	0	0	0	0	0	0	0	0	0
SNORD41	SNORD41	1	70	+	70	666	412	1073	1407	930	1536	1134	1307	597	683
SNORD42A	SNORD42A	1	64	+	64	452	399	1767	1898	1341	895	1547	1934	442	544
SNORD42B	SNORD42B	1	67	+	67	2176	2089	6317	6093	4678	3661	5302	6212	1928	1799
SNORD43	SNORD43	1	64	+	64	149	106	303	326	226	248	254	311	132	149
SNORD45A	SNORD45A	1	84	+	84	71	40	192	192	69	142	132	150	50	51
SNORD45B	SNORD45B	1	72	+	72	23	15	25	40	17	26	9	23	13	16
SNORD45C	SNORD45C	1	79	+	79	11	11	11	30	20	12	13	9	9	8
SNORD46	SNORD46	1	100	+	100	601	376	1236	1228	871	1258	1313	1502	586	606
SNORD48	SNORD48	1	64	+	64	50	19	139	149	91	83	90	113	34	60
SNORD49A	SNORD49A	1	71	+	71	762	557	1617	2571	1357	1296	1373	1753	707	707
SNORD49B	SNORD49B	1	72	+	72	205	153	451	534	278	530	275	448	205	200
SNORD4A	SNORD4A	1	72	+	72	39	22	50	61	31	61	22	55	30	34
SNORD4B	SNORD4B	1	72	+	72	237	159	472	589	298	338	224	393	192	179
SNORD50B	SNORD50B	1	70	+	70	57	52	143	159	98	150	90	122	77	65
SNORD51	SNORD51	1	80	+	80	89	73	250	197	117	155	115	205	62	82
SNORD52	SNORD52	1	67	+	67	7	6	11	10	4	1	4	6	9	3
SNORD53	SNORD53	1	78	+	78	14	5	20	24	9	18	3	17	5	1
SNORD53B	SNORD53B	1	78	+	78	46	23	53	90	39	85	33	58	31	34
SNORD54	SNORD54	1	67	+	67	133	107	299	328	235	285	338	327	155	158
SNORD55	SNORD55	1	80	+	80	2292	1399	4787	5239	4456	5204	8161	6990	2082	2688
SNORD56B	SNORD56B	1	71	+	71	0	0	0	0	0	0	0	0	0	0
SNORD56	SNORD56	1	71	+	71	14	26	56	49	46	36	52	84	26	33
SNORD57	SNORD57	1	72	+	72	553	355	1098	1374	1064	880	1224	1289	566	450
SNORD58A	SNORD58A	1	65	+	65	66	26	146	159	107	84	117	171	49	38
SNORD58B	SNORD58B	1	66	+	66	38	41	133	119	74	79	102	117	35	46
SNORD58C	SNORD58C	1	64	+	64	121	79	264	291	193	160	289	334	99	90
SNORD59A	SNORD59A	1	75	+	75	457	362	1080	1193	783	828	560	963	404	442
SNORD5	SNORD5	1	73	+	73	1	2	0	4	1	4	3	0	1	2
SNORD60	SNORD60	1	83	+	83	567	351	1338	1667	843	873	965	1306	483	515
SNORD61	SNORD61	1	73	+	73	1	0	0	0	0	0	0	0	0	0
SNORD62A	SNORD62A	1	86	+	86	18	4	19	34	14	24	12	11	20	12
SNORD63B	SNORD63B	1	70	+	70	15	8	37	29	29	18	32	20	13	10
SNORD63	SNORD63	1	68	+	68	1055	982	3645	3836	2571	2446	3668	4186	1201	1618
SNORD64	SNORD64	1	67	+	67	0	0	0	0	0	0	0	0	0	0
SNORD65	SNORD65	1	73	+	73	791	457	1183	1527	908	1373	636	1089	555	629
SNORD65B	SNORD65B	1	73	+	73	0	0	0	0	2	0	0	0	0	0
SNORD65C	SNORD65C	1	71	+	71	0	0	0	0	0	0	0	0	0	0
SNORD66	SNORD66	1	76	+	76	40	21	76	87	53	62	31	52	30	31
